Rank,Streams,Track Name,tempo,Artist_id
171.0,154471340,All I Want for Christmas Is You,150.27700000000002,4iHNK0tOyZPYnBU7nGAgpQ
172.0,154319901,no tears left to cry,121.993,66CXWjxzNUsdJxJ2JdwvnR
173.0,153857907,Lover,68.53399999999999,06HL4z0CvFAxyc27GXpf02
174.0,153232549,Take What You Want (feat. Ozzy Osbourne & Travis Scott),139.91899999999998,246dkjvS1zLTtiykXe5h60
175.0,152569208,Que Mas Pues - Remix,113.363,77ziqFxp5gaInVrF2lj4ht
176.0,152519092,The London (feat. J. Cole & Travis Scott),97.991,50co4Is1HCEo8bhOyUWKpn
177.0,152252829,Something Just Like This,103.01899999999999,69GGBxA162lTqCwzJG5jLp
178.0,152023549,HP,91.98,1r4hJ1h58CWwUQe3MxPuau
179.0,148910211,you should see me in a crown,150.455,6qqNVTkY8uBg9cP3Jd7DAH
180.0,146033660,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",95.016,5JZ7CnR6gTvEMKX4g70Amv
181.0,145347250,Hate Me (with Juice WRLD),75.025,0X2BH1fck6amBIoJhDVmmJ
182.0,145167518,Graveyard,92.04299999999999,26VFTg2z8YR0cCuwLzESi2
183.0,145149036,Tusa,101.085,790FomKkXshlbRYZFtlgla
184.0,144487661,Thotiana,104.025,3Fl1V19tmjt57oBdxXKAjJ
185.0,144255522,Adictiva,99.038,4VMYDCV2IEDYJArk749S6m
186.0,143425447,IDGAF,97.02799999999999,6M2wZ9GZgrQXHCFfjv46we
187.0,143302577,Lost In Japan,105.027,7n2wHs1TKAczGzO7Dd2rGr
188.0,142941148,"thank u, next",106.96,66CXWjxzNUsdJxJ2JdwvnR
189.0,142421652,Ransom,179.97400000000002,4Ga1P7PMIsmqEZqhYZQgDo
190.0,142361657,Fantasias,94.00399999999999,1mcTU81TzQhprhouKaTkpq
191.0,142147199,HP,91.98,1r4hJ1h58CWwUQe3MxPuau
192.0,142006864,Congratulations,123.146,246dkjvS1zLTtiykXe5h60
193.0,140455238,In My Feelings,91.03,3TVXtAsR1Inumwj472S9r4
194.0,140443870,Please Me,133.99200000000002,4kYSro6naA4h99UJvo89HB
195.0,140396723,Bohemian Rhapsody - 2011 Mix,143.88299999999998,1dfeR4HaWDbWqFHLkxsg1d
196.0,140127272,"Go Loko (feat. Tyga, Jon Z)",101.008,0A0FS04o6zMoto8OKPsDwY
197.0,138462086,when the party's over,124.001,6qqNVTkY8uBg9cP3Jd7DAH
198.0,137764356,ME! (feat. Brendon Urie of Panic! At The Disco),182.123,06HL4z0CvFAxyc27GXpf02
199.0,137375321,Paradise,122.061,4GvEc3ANtPPjt1ZJllr5Zl
200.0,137088727,goosebumps,130.049,0Y5tJX1MQlPlqiwlOH1tJY
201.0,134937512,Call You Mine,104.00299999999999,69GGBxA162lTqCwzJG5jLp
202.0,134813252,All of Me,119.93,5y2Xq6xcjJb2jVM54GHK3t
203.0,134561463,bad guy (with Justin Bieber),135.055,6qqNVTkY8uBg9cP3Jd7DAH
204.0,133932624,Natural,100.0,53XhwfbYqKCa1cC15pYq2q
205.0,133360949,Cuaderno,172.019,0KPX4Ucy9dk82uj4GpKesn
206.0,133075503,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),113.77799999999999,60d24wfXkVzDSfLS6hyCjZ
207.0,130923031,I.F.L.Y.,104.954,4GvEc3ANtPPjt1ZJllr5Zl
208.0,129020612,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",95.266,5CiGnKThu5ctn9pBxv7DGa
209.0,128371806,Love Someone,171.838,25u4wHJWxCA9vO0CzxAbK7
210.0,127896512,Si Se Da,93.977,7iK8PXO48WeuP03g8YR51W
211.0,127638856,You Need To Calm Down,85.02600000000001,06HL4z0CvFAxyc27GXpf02
212.0,127569510,Sanguine Paradise,134.972,4O15NlyKLIASxsJ0PrXPfz
213.0,127484851,Falling,127.087,7uaIm6Pw7xplS8Dy06V6pT
214.0,125588211,bellyache,99.939,6qqNVTkY8uBg9cP3Jd7DAH
215.0,124602073,Say My Name,95.031,1Cs0zKBU1kc0i8ypK3B9ai
216.0,124455526,New Rules,116.073,6M2wZ9GZgrQXHCFfjv46we
217.0,124252527,BOP,126.77,4r63FhuTkUYltbVAg5TQnk
218.0,123812842,Pa Mí - Remix,170.018,0KPX4Ucy9dk82uj4GpKesn
219.0,123286296,Talk,136.001,6LuN9FCkKOj5PcnpouEgny
220.0,123245059,Trampoline (with ZAYN),126.803,3KwmxIhSe9UTSEF37kwngR
221.0,123134143,Get You The Moon (feat. Snøw),118.917,4qIVPF0s71ZYW3qzhu5GkF
222.0,122376635,Arms Around You (feat. Maluma & Swae Lee),104.969,15UsOTVnJzReFVN1VCnxy4
223.0,122014940,Bruises,111.20200000000001,4GNC7GD6oZMSxPGyXy4MNB
224.0,121519143,Be Alright,126.684,3QSQFmccmX81fWCUSPTS7y
225.0,121089966,Ella Quiere Beber - Remix,95.23899999999999,2R21vXR83lH98kGeO99Y66
226.0,119910695,Leave Me Alone,150.024,2HUwZ0kumzCSlhFcjFZfpp
227.0,119375901,Contra La Pared,94.052,3Isy6kedDrgPYoTS1dazA9
228.0,118147209,Saint-Tropez,132.113,246dkjvS1zLTtiykXe5h60
229.0,117448202,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),102.914,66CXWjxzNUsdJxJ2JdwvnR
230.0,116832184,I Fall Apart,143.95,246dkjvS1zLTtiykXe5h60
231.0,116577820,Last Christmas,107.682,5lpH0xAS4fVfLkACg9DAuM
232.0,115515486,Indeciso,94.949,0vR2qb8m9WHeZ5ByCbimq2
233.0,115416782,Motivation,170.918,2cWZOOzeOm4WmBJRnD5R7I
234.0,114243212,Ransom,179.97400000000002,4Ga1P7PMIsmqEZqhYZQgDo
235.0,114072916,Wow.,99.96,246dkjvS1zLTtiykXe5h60
236.0,111828515,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",121.79899999999999,23fqKkggKUBHNkbKtXEls4
237.0,111679619,Mixed Personalities (feat. Kanye West),149.937,1cNDP5yjU5vjeR8qMf4grg
238.0,111306252,Lights Up,101.939,6KImCVD70vtIoJWnq6nGn3
239.0,110915843,Africa,92.71700000000001,0PFtn5NtBbbUNbU9EAmIWF
240.0,110744630,Post Malone (feat. RANI),107.35600000000001,20gsENnposVs2I4rQ5kvrf
241.0,110678230,223's (feat. 9lokknine),94.99799999999999,1cNDP5yjU5vjeR8qMf4grg
242.0,110624983,changes,64.934,15UsOTVnJzReFVN1VCnxy4
243.0,110323177,Beautiful (feat. Camila Cabello),100.027,4GvEc3ANtPPjt1ZJllr5Zl
244.0,110316702,Reggaeton,176.05900000000003,1vyhD5VmyZ7KMfW5gqLgo5
245.0,110149257,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),113.77799999999999,60d24wfXkVzDSfLS6hyCjZ
246.0,107854024,Si Te Vas,174.1,77ziqFxp5gaInVrF2lj4ht
247.0,107230844,FRIENDS,95.079,64KEffDW9EtZ1y2vBYgq8T
248.0,106865905,Easier,175.813,5Rl15oVamLq7FbSb0NNBNy
249.0,106742343,comethru,93.98200000000001,3gIRvgZssIb9aiirIg0nI3
250.0,105595545,Teeth,139.02,5Rl15oVamLq7FbSb0NNBNy
251.0,105576121,All Around The World (La La La),124.948,6cEuCEZu7PAE9ZSzLLc2oQ
252.0,105148236,Esclavo de Tus Besos,90.979,0tmwSHipWxN12fsoLcFU3B
253.0,104635897,Blinding Lights,171.017,1Xyo4u8uXC1ZmMpatF05PJ
254.0,104407936,Aullando,90.035,1wZtkThiXbVNtj6hee6dz9
255.0,103945719,Lose Control,123.935,0xRXCcSX89eobfrshSVdyu
256.0,103747537,Runaway,75.014,07YUOmWljBTXwIseAUd9TW
257.0,103587011,Look At Her Now,154.355,0C8ZW7ezQVs4URX5aX7Kqx
258.0,102431765,my strange addiction,100.029,6qqNVTkY8uBg9cP3Jd7DAH
259.0,102014288,This Feeling,105.04899999999999,69GGBxA162lTqCwzJG5jLp
260.0,101321426,Ritual,114.99600000000001,2o5jDhtHVPhrJdv3cEQ99Z
261.0,101244428,Nonstop,154.983,3TVXtAsR1Inumwj472S9r4
262.0,100909750,Cross Me (feat. Chance the Rapper & PnB Rock),95.005,6eUKZXaKkcviH0Ku9w2n3V
263.0,100464346,Que Tire Pa Lante,93.979,4VMYDCV2IEDYJArk749S6m
264.0,100432584,Dancin (feat. Luvli) - Krono Remix,119.896,77qukKzmdI5BeMBR7WGUrN
265.0,100347749,Thinking out Loud,78.998,6eUKZXaKkcviH0Ku9w2n3V
266.0,100158110,Good as Hell,95.98200000000001,56oDRnqbIiwx4mymNEv7dS
267.0,98928861,I'm Yours,150.953,4phGZZrJZRo4ElhRtViYdl
268.0,98876935,The Git Up,97.984,3yzRiNMZdTsSUgplcyYZ4i
269.0,97873904,Vete,91.976,4q3ewBCX7sLwd24euuV69X
270.0,97576044,Money,130.003,4kYSro6naA4h99UJvo89HB
271.0,97567036,Old Town Road,135.998,7jVv8c5Fj3E9VhNjxT4snq
272.0,97166469,Baila Baila Baila - Remix,100.016,1i8SpTcr7yvPOmcqrbnVXY
273.0,97026659,Hot (feat. Gunna),111.99700000000001,50co4Is1HCEo8bhOyUWKpn
