Rank,Track_id,Streams,Track Name,Artist_id
125.0,7K7MUBCnzgBAvMVW2RTWNs,199561494,Body (feat. brando),6t1gpxYbY8OlLA7D2RiikQ
126.0,3swc6WTsr7rl9DqQKQA55C,195603663,Psycho (feat. Ty Dolla $ign),246dkjvS1zLTtiykXe5h60
127.0,6fxVffaTuwjgEk5h9QyRjy,195029499,Photograph,6eUKZXaKkcviH0Ku9w2n3V
128.0,2RSHsoi04658QL5xgQVov3,193969417,Bad Liar,53XhwfbYqKCa1cC15pYq2q
129.0,2wrJq5XKLnmhRXHIAf9xBa,193331911,"10,000 Hours (with Justin Bieber)",7z5WFjZAIYejWy0NI5lv4T
130.0,7BKLCZ1jbUBVqRi2FVlTVw,193248040,Closer,69GGBxA162lTqCwzJG5jLp
131.0,2fuCquhmrzHpu5xcA1ci9x,193127265,Under Pressure - Remastered,1dfeR4HaWDbWqFHLkxsg1d
132.0,63cd4JkwGgYJrbOizbfmsp,193090742,Pure Water (with Migos),0YinUQ50QDB7ZxSCLyQ40k
133.0,1NJcg626wLln4pGHpiV7mf,190034741,lovely,6qqNVTkY8uBg9cP3Jd7DAH
134.0,40T5GIqQ1CegGm2PTEl8Bu,185239405,idontwannabeyouanymore,6qqNVTkY8uBg9cP3Jd7DAH
135.0,5qrSlOut2rNAWv3ubArkNy,185142138,Be Alright,3QSQFmccmX81fWCUSPTS7y
136.0,6fTt0CH2t0mdeB2N9XFG5r,184771732,Panini,7jVv8c5Fj3E9VhNjxT4snq
137.0,1xzBco0xcoJEDXktl7Jxrr,183562149,Mo Bamba,2RDOrhPqAM4jzTRCEb19qX
138.0,0DiDStADDVh3SvAsoJAFMk,182748769,Only Human,7gOdHgIoIKoe4i9Tta6qdD
139.0,4hPpVbbakQNv8YTHYaOJP4,181600204,One Thing Right,64KEffDW9EtZ1y2vBYgq8T
140.0,7ef4DlsgrMEH11cDZd32M6,179844243,One Kiss (with Dua Lipa),7CajNmpbOovFoOoasH2HaY
141.0,4NzMOnvSJVNKF7nw5NkXIP,179652252,bury a friend,6qqNVTkY8uBg9cP3Jd7DAH
142.0,1kBbgxAUc4HQv7cgIayIDH,178836034,Ransom,4Ga1P7PMIsmqEZqhYZQgDo
143.0,3ZCTVFBt2Brf31RLEnCkWJ,177946722,everything i wanted,6qqNVTkY8uBg9cP3Jd7DAH
144.0,0s5DNDV6LAKn2u2Ufa3VjQ,177745215,Desconocidos,2wkoKEfS6dXwThbyTnZWFU
145.0,5hVghJ4KaYES3BFUATCYn0,177312035,EARFQUAKE,4V8LLVI7PbaPR0K2TGSxFF
146.0,6Gg1gjgKi2AK4e0qzsR7sd,177166322,Bandit (with YoungBoy Never Broke Again),4MCBfE4596Uoi2O4DtmEMz
147.0,09IStsImFySgyp0pIQdqAc,175754033,The Middle,2qxJFvFYMEDqd7ui6kSAcq
148.0,2x0RZdkZcD8QRI53XT4GI5,175735987,SOS (feat. Aloe Blacc),1vCWHaC5f2uS3yhpwWbIA6
149.0,2uIX8YMNjGMD7441kqyyNU,174000961,ocean eyes,6qqNVTkY8uBg9cP3Jd7DAH
150.0,2bT1PH7Cw3J9p3t7nlXCdh,173624643,If I Can't Have You,7n2wHs1TKAczGzO7Dd2rGr
151.0,5jW3rF4URMdK7tO2xjS5EI,172766601,Tal Vez,3vQ0GE3mI0dAaxIMYe5g7z
152.0,14msK75pk3pA33pzPVNtBF,172267436,7 rings,66CXWjxzNUsdJxJ2JdwvnR
153.0,2rbDhOo9Fh61Bbu23T2qCk,172146721,Always Remember Us This Way,1HY2Jd0NmPuamShAr6KMms
154.0,4pUCKHjJ4Ijewc37rRrvHn,170650554,Kill This Love,41MozSoPIsD1dJM0CLPjZF
155.0,6Hj9jySrnFppAI0sEMCZpJ,168363558,Robbery,4MCBfE4596Uoi2O4DtmEMz
156.0,27rdGxbavYJeBphck5MZAF,167869894,Nothing Breaks Like a Heart (feat. Miley Cyrus),3hv9jJF3adDNsBSIQDqcjp
157.0,7LzouaWGFCy4tkXDOOnEyM,166831567,Liar,4nDoRrQiYLoBzwC5BhVJzF
158.0,5qqabIl2vWzo9ApSC317sa,165134319,Wonderwall - Remastered,2DaxqgrOhkeH0fpeiQq2f4
159.0,7DcvwMAiqKJQD1rrdfxSDx,164727863,The London (feat. J. Cole & Travis Scott),50co4Is1HCEo8bhOyUWKpn
