Artist,Artist_popularity,Artist_follower,Artist_id
Post Malone,100,21335421,246dkjvS1zLTtiykXe5h60
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Lil Uzi Vert,92,7585654,4O15NlyKLIASxsJ0PrXPfz
DaBaby,95,1799463,4r63FhuTkUYltbVAg5TQnk
Kanye West,94,10995470,5K4W6rqBFWDnAN6FQUkS6x
KAROL G,92,7947851,790FomKkXshlbRYZFtlgla
DJ Snake,88,6393532,540vIaP2JwjQb9dm3aArA4
Dua Lipa,93,14982761,6M2wZ9GZgrQXHCFfjv46we
Quality Control,80,500061,6i392l38cR3uBPF0DbNs7S
Rita Ora,84,5321422,5CCwRZC6euC8Odo6y9X8jr
Logic,87,4329265,4xRYI6VqpkE3UwrDrAZL8L
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Ozuna,98,21123358,1i8SpTcr7yvPOmcqrbnVXY
Zara Larsson,84,6527316,1Xylc3o4UrD53lo9CvFvVg
ZAYN,87,10364573,5ZsFI1h6hIdQRw2ti0hz81
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Miley Cyrus,87,10744522,5YGY8feqx7naU7z4HrwZM6
Bad Bunny,98,17863391,4q3ewBCX7sLwd24euuV69X
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
A Boogie Wit da Hoodie,91,3899600,31W5EY0aAly4Qieq6OFu6I
H.E.R.,83,2064213,3Y7RZ31TRPVadSFVy1o8os
Nicky Jam,94,10569805,1SupJlEpv7RS2tPNRaHViT
Nio Garcia,78,957461,5hdhHgpxyniooUiQVaPxQ0
Niall Horan,84,4574278,1Hsdzj7Dlq2I7tHP7501T4
Ellie Goulding,87,7390843,0X2BH1fck6amBIoJhDVmmJ
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Stormzy,88,1308575,2SrSdSvpminqmStGELCSNd
Lil Nas X,87,2218983,7jVv8c5Fj3E9VhNjxT4snq
Mustard,86,540694,0YinUQ50QDB7ZxSCLyQ40k
Robin Schulz,83,2303249,3t5xRXzsuZmMDkQzgOX35S
Paulo Londra,86,9006523,3vQ0GE3mI0dAaxIMYe5g7z
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Daddy Yankee,95,15857952,4VMYDCV2IEDYJArk749S6m
Jonas Blue,85,2540528,1HBjj22wzbscIZ9sEb5dyf
Jonas Blue,85,2540528,1HBjj22wzbscIZ9sEb5dyf
Michael Bublé,92,3547268,1GxkXlMwML1oSg5eLPiAz3
Calboy,74,330925,0HkcYmcjrBR3SCw9Ld5VZk
Mustard,86,540694,0YinUQ50QDB7ZxSCLyQ40k
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Young Thug,94,4744074,50co4Is1HCEo8bhOyUWKpn
Lewis Capaldi,92,2143489,4GNC7GD6oZMSxPGyXy4MNB
Gesaffelstein,71,302998,3hteYQFiMFbJY7wS0xDymP
Ski Mask The Slump God,84,2933177,2rhFzFmezpnW82MNqEKVry
Dimelo Flow,86,60095,3fZk3Gm5dN5v5yfYMQ04Bx
Brenda Lee,78,148590,4cPHsZM98sKzmV26wlwD2W
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Bobby Helms,77,12457,38EmEgXkgK51MT2tPY0EoC
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Khalid,96,10092177,6LuN9FCkKOj5PcnpouEgny
Ali Gatie,82,464535,4rTv3Ejc7hKMtmoBOK1B4T
Rich The Kid,84,1933809,1pPmIToKXyGdsCF6LmqLmI
Manuel Turizo,88,4961323,0tmwSHipWxN12fsoLcFU3B
Queen,93,22898929,1dfeR4HaWDbWqFHLkxsg1d
Dayvi,73,26805,2TWBei99x2tV70bdYbWdAf
NLE Choppa,86,764672,0ErzCpIMyLcjPiwT4elrtZ
Shawn Mendes,94,23152263,7n2wHs1TKAczGzO7Dd2rGr
Kygo,89,5922832,23fqKkggKUBHNkbKtXEls4
Duki,84,2687391,1bAftSH8umNcGZ0uyV7LMg
Nicky Jam,94,10569805,1SupJlEpv7RS2tPNRaHViT
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
P!nk,86,7714421,1KCSPY1glIKqW2TotWuXOR
Tyga,92,5328383,5LHRHt1k9lMyONurDHEdrp
Metro Boomin,84,1647724,0iEtIxbK0KxaSlF7G42ZOp
Ed Sheeran,98,57463755,6eUKZXaKkcviH0Ku9w2n3V
Sebastian Yatra,89,10046817,07YUOmWljBTXwIseAUd9TW
Mabel,82,554723,1MIVXf74SZHmTIp4V4paH4
Justin Bieber,96,32365717,1uNFoZAHBGtllmzznpCI3s
Bebe Rexha,87,4604422,64M6ah0SkkRsnPGtGiRAbb
Zedd,86,4997291,2qxJFvFYMEDqd7ui6kSAcq
Maluma,92,18201306,1r4hJ1h58CWwUQe3MxPuau
French Montana,87,3261832,6vXTefBL93Dj5IqAWq6OTv
Megan Thee Stallion,81,653649,181bsRPaVXVlUKXrxwZfHK
Lil Dicky,75,1463726,1tqhsYv8yBBdwANFNzHtcr
Apache 207,86,459884,1qQLhymHXFPtP5U8KNKsm6
XXXTENTACION,95,17294420,15UsOTVnJzReFVN1VCnxy4
The Chainsmokers,91,15139114,69GGBxA162lTqCwzJG5jLp
6ix9ine,84,4393100,7gZfnEnfiaHzxARJ2LeXrf
Tom Walker,79,594391,7z2avKuuiMAT4XZJFv8Rvh
Lauv,91,2139634,5JZ7CnR6gTvEMKX4g70Amv
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Lil Skies,85,3588556,7d3WFRME3vBY2cgoP38RDo
Dean Lewis,83,926350,3QSQFmccmX81fWCUSPTS7y
Manuel Turizo,88,4961323,0tmwSHipWxN12fsoLcFU3B
6ix9ine,84,4393100,7gZfnEnfiaHzxARJ2LeXrf
Young Thug,94,4744074,50co4Is1HCEo8bhOyUWKpn
Lil Peep,88,3024183,2kCcBybjl3SAtIcwdWpUe3
Harry Styles,95,5911371,6KImCVD70vtIoJWnq6nGn3
6ix9ine,84,4393100,7gZfnEnfiaHzxARJ2LeXrf
Taylor Swift,95,25846444,06HL4z0CvFAxyc27GXpf02
Polo G,82,726169,6AgTAQt8XS6jRWi4sX7w49
Sam Feldt,82,457804,20gsENnposVs2I4rQ5kvrf
Silk City,71,52370,2X97ZAqRKRMYFIDqtvGgGc
Ant Saunders,78,27094,4jpsw9CQS439N0B7SecMgf
Lunay,88,1349511,47MpMsUfWtgyIIBEFOr4FE
Luis Fonsi,84,7880988,4V8Sr092TqfHkfAA5fXXqG
Ariana Grande,97,40958727,66CXWjxzNUsdJxJ2JdwvnR
Tyga,92,5328383,5LHRHt1k9lMyONurDHEdrp
Halsey,92,9063023,26VFTg2z8YR0cCuwLzESi2
